Definição_da_Doença,Indices_ep,Prevenção,teste_rapido_diag,Consequências,Tratamento
"Uma delas é a sífilis, que apesar de ser causada por uma bactéria tratável e curável, atinge níveis de epidemia no país. Só na Paraíba, foram notificados 1.923 casos de sífilis adquirida – quando a transmissão ocorre de pessoa para pessoa – em 2019.","De acordo com o levantamento realizado pela Secretaria de Estado da Saúde (SES), 68% dos casos de sífilis adquirida na Paraíba são de homens entre 20 e 39 anos, o que se converte em um dos motivos para o aumento nos índices da doença.","para a utilização do preservativo, que é a única forma de prevenção para a sífilis.","Para diagnosticar a sífilis é simples; o teste rápido sai em torno de meia hora e é preciso um pouco mais do que uma gota de sangue. Em caso positivo, é feito o exame de sangue VDRL, para saber o grau da bactéria no organismo. ","Uma vez que o paciente é diagnosticado com sífilis, é administrado o tratamento na própria unidade de saúde, sendo prescrito pelo médico responsável, ou pelo enfermeiro. A medicação é dispensada de acordo com o estágio que pode ser primário, secundário, ou latente. Em sua fase mais aguda, a pessoa com sífilis pode apresentar lesões na pele, problemas nos ossos, no coração e até complicações neurológicas.","Já o tratamento dura entre uma e três semanas na própria USF, sendo a primeira dosagem realizada após o teste rápido. "
"A sífilis incide principalmente sobre a população adulta, sendo transmitida e adquirida por meio do contato sexual desprotegido.","Em 2016 o número absoluto de testes positivos para sífilis era de 714 diagnósticos, enquanto em 2018 o total saltou para 2,4 mil. De acordo com Ana Carolina Klein, enfermeira da Vigilância Epidemiológica, há cinco anos a incidência de infecções em Joinville era de 51 novos casos para cada 100 mil habitantes (2014), proporção que passou para 441 ocorrências a cada 100 mil moradores no ano passado.","Uso de preservativo nas relações sexuais tanto para homens quanto para mulheres. Já o acompanhamento das gestantes e parceiros sexuais durante o pré-natal contribui para o controle da sífilis congênita.

​",Teste rápido e exame sorológico.,"A infecção pode apresentar três estágios e alguns sinais: 

-No primeiro deles, logo nas semanas seguintes ao contágio, pode haver o aparecimento de uma ferida na região genital do portador. Essa lesão não dói, não coça e desaparece sozinha. 

-A sífilis secundária ocorre até seis meses depois da cicatrização da ferida inicial, resultando em manchas e lesões de pele semelhantes a uma alergia, normalmente na palma da mão e na planta do pé. Pode surgir ainda febre, mal-estar, dor de cabeça e ínguas pelo corpo. 

-A fase seguinte é assintomática, perdurando por até 40 anos. Por fim, existe a fase terciária da doença, mais grave, caracterizada por lesões de pele e complicações ósseas, neurológicas e cardiovasculares, podendo inclusive levar à morte.

​","A sífilis tem cura e pode ser tratada com aplicação da penicilina benzatina, popularmente conhecida como Benzetacil. A quantidade de doses, de uma a três, varia de pessoa para pessoa."
"A sífilis é uma Infecção Sexualmente Transmissível (IST) curável, causada pela bactéria Treponema Pallidum. Pode ser transmitida por relação sexual sem camisinha com uma pessoa infectada ou para a criança durante a gestação ou o parto. ","A infecção por sífilis tem uma tendência de crescimento no Rio Grande do Sul. No ano de 2012, registramos 23,3 casos a cada 100 mil habitantes. O índice foi crescendo ano a ano até que, em 2018, atingiu 141,1 casos a cada 100 mil habitantes","A forma de prevenção é o uso da camisinha durante toda a relação sexual (oral, vaginal e/ou anal). ","Ana Baggio ressalta também a importância de se realizar periodicamente o teste rápido da sífilis, encontrado em toda a rede básica de saúde. ","Se não tratada, a longo prazo pode atingir órgãos vitais e levar a sequelas irreversíveis ou à morte",
"A sífilis é uma doença infectocontagiosa, sexualmente transmissível, causada pela bactéria Treponema pallidum. Pode também ser transmitida verticalmente, ou seja, da mãe para a criança durante a gestação ou parto, por transfusão de sangue ou por contato direto com sangue contaminado.","Dados do Boletim Epidemiológico da Sífilis 2018 apontam aumento de 20% na taxa de detecção da sífilis adquirida no Estado, que passou de 112,2 casos para cada 100 mil habitantes em 2016, para 134,9 casos para cada 100 mil habitantes em 2017. No mesmo período, a taxa de detecção da sífilis adquirida no Brasil aumentou em 31%, passando de 44,1/100 mil habitantes em 2016, para 58,1 casos para cada 100 mil habitantes em 2017.",a melhor prevenção é fazer com frequência os testes para detectar a doença e usar camisinha feminina ou masculina sempre.,"A implantação dos testes rápidos para diagnóstico da infecção pelo HIV e triagem de sífilis na Atenção Primária, do Sistema Único de Saúde (SUS), forma o conjunto de estratégias que tem como objetivo a qualificação e a ampliação do acesso da população ao diagnóstico do HIV e detecção da sífilis.","Se não for tratada precocemente, em anos, as manifestações podem deixar sequelas e comprometer o sistema neurológico, olhos, ossos e outros órgãos.","Ela explica que o tratamento da sífilis varia de acordo com a fase da infecção, sendo a penicilina a melhor opção. Em muitos casos, o paciente não toma as doses adequadamente ou se expõe a reinfecção. Para assegurar a eficácia, a doença precisa ser monitorada por exames após o tratamento."
"A sífilis é causada pela bactéria Treponema pallidum, enfermidade infecciosa de contato que pode ser transmitida por relação sexual sem camisinha e por transfusão de sangue, além de mãe para feto durante a gestação.","Segundo o último Boletim Epidemiológico do Ministério da Saúde, entre 2010 e 2018, houve um aumento de 4.157% nos casos de sífilis no país.","O uso de preservativos é o método principal para evitar a transmissão de ISTs. Os médicos devem orientar os seus pacientes sobre o uso do preservativo em todas as relações sexuais, incluindo sexo oral e anal, além de procurar atendimento para avaliação em caso de exposições sem proteção."," Idealmente, o diagnóstico de sífilis deve ser realizado com a positividade de um treponêmico e de um não treponêmico, mas algumas situações autorizam o tratamento com somente um teste não treponêmico positivo, como é o caso de gestantes. Os testes treponêmicos mais comumente disponíveis são os testes rápidos e FTA-Abs. Os não treponêmicos mais comuns incluem VDRL e RPR","A sífilis, por exemplo, é uma causa importante de anomalias congênitas e aborto espontâneo, além de poder causar alterações neurológicas.","A penicilina é considerada o padrão-ouro de tratamento de sífilis em todas as suas formas e estágios. Para os casos de sífilis primária, secundária ou latente recente, o tratamento preconizado é com penicilina benzatina 2.400.000 UI, IM, em dose única. Já para os quadros de sífilis latente tardia, terciária ou de duração desconhecida, recomenda-se três doses de penicilina benzatina na mesma dose, com uma semana de intervalo entre cada dose."
"A sífilis é causada pela bactéria Treponema pallidum. Trata-se de uma doença infecciosa de contato que pode ser transmitida por relação sexual sem camisinha e por transfusão de sangue (sífilis adquirida), além de mãe para feto durante a gestação (sífilis congênita).","Apenas em 2018, foram registrados mais de 246.000 casos entre sífilis adquirida, em gestantes e congênitas. Em relação às mortes, foram 241 – todas devido à sífilis congênita, que ocorre quando a mãe transmite a doença para a criança durante a gestação. Em comparação com 2017, esses números representam aumento de 25,7% nos casos em gestantes, 28,3% na adquirida e 5,2% na congênita.",Não é nenhuma novidade que a melhor forma de prevenir doenças sexualmente transmissíveis (DSTs) é usar preservativos em todas as relações sexuais. ,os resultados dos exames geralmente levam menos de 30 minutos para ficarem prontos.,"Quando não tratada, a sífilis pode causar comprometimentos sérios do sistema nervoso central, com alterações neurológicas (quadros de demência), auditivas, oculares, cardíacas e ósseas.","A sífilis tem cura e o tratamento é feito por meio da aplicação de penicilina benzatina, que está disponível gratuitamente no Sistema Único de Saúde (SUS). "
"A sífilis é uma Infecção Sexualmente Transmissível (IST) curável, causada pela bactéria Treponema pallidum. Pode apresentar várias manifestações clínicas e diferentes estágios (sífilis primária, secundária, latente e terciária). Nos estágios primário e secundário da infecção, a possibilidade de transmissão é maior.","Amazonas notificou no ano passado 851 casos de sífilis congênita, quando a gestante transmite a doença para o bebê durante a gestação, 1.093 casos de sífilis adquirida e 1.402 casos de sífilis em gestantes. Já no primeiro semestre de 2018, foram 453 casos de sífilis adquirida, 631 em gestantes e 327 de sífilis congênita.",orientações do uso correto e regular do preservativo como medida de prevenção da sífilis e outras Infecções Sexualmente Transmissíveis (ISTs).,com a intensificação da testagem rápida para o diagnóstico precoce,"A doença pode causar sérias complicações na gravidez, como aborto ou parto prematuro. E ainda a criança pode nascer com sequelas como problemas na dentição e cegueira",
Sífilis é uma infecção sexualmente transmissível (IST) causada pela bactéria Treponema pallidum.,"Em 2017 foi percebido um aumento dos casos relacionados à sífilis no Brasil. Entre 2015 e 2016, a sífilis adquirida teve um aumento de 27,9%; a sífilis em gestantes, de 14,7%; e a congênita (transmitida da mãe para o bebê pela placenta ou no momento do parto) de 4,7%. ","O uso da camisinha e ter relações sexuais seguras são a melhor forma de prevenir a sífilis. A camisinha é medida preventiva não só para sífilis, mas também para todas as outras infecções sexualmente transmissíveis (IST’s).","Os sintomas da sífilis costumam ser muito similares a sintomas de outras doenças, então o médico deve realizar exames específicos para conseguir fazer o diagnóstico. Os exames mais usados para o diagnóstico da sífilis são: VDRL e Teste rápido.","Sem tratamento, a sífilis pode evoluir, se espalhar pelo corpo e causar complicações mais graves para os pacientes infectados. Além disso, pode aumentar o risco de infecção por HIV e, em mulheres, pode causar complicações na gravidez.","Quando diagnosticada precocemente, a sífilis não costuma causar maiores danos à saúde e o paciente costuma ser curado rapidamente. O tratamento para sífilis mais indicado pelos médicos é feito à base de penicilina, um antibiótico comprovadamente eficaz contra a bactéria causadora da doença."
A sífilis é uma doença sexualmente transmissível,"Por ano aproximadamente três milhões de mulheres dão à luz em todo o país e os dados do Organização Mundial da Saúde (OMS) apontam que 1,6% das mulheres apresentam a sífilis – em torno de 49 mil gestantes -  no momento do parto. Em Belém, a faixa etária de maior incidência da doença em gestantes é dos 20 aos 34 anos, de acordo com os dados do Departamento de Vigilância à Saúde (Devs) do município, referentes ao período de 2010 a 2012.",,"Ao todo, nos três dias da ação, serão realizados 700 testes e, os casos positivos de sífilis serão encaminhados para a realização do exame laboratorial de sangue VDRL, que confirmará a suspeita da doença. ","durante a gravidez, pode provocar o aborto, além de cegueira, surdez, deficiência mental e má formação fetal.","Caso o diagnóstico final seja confirmado, este paciente terá a consulta agendada na própria Unidade Municipal de Saúde e iniciará o tratamento com o medicamento penicilina, que é disponibilizado na rede pública de saúde"
"A sífilis é causada pela bactéria Treponema pallidum, enfermidade infecciosa de contato que pode ser transmitida por relação sexual sem camisinha e por transfusão de sangue, além de mãe para feto durante a gestação.","Pesquisas mostram que o uso dos preservativos sexuais vem caindo ao longo dos anos, especialmente entre os jovens. As consequências da rejeição ao preservativo já são notadas pelas autoridades de saúde brasileiras. Segundo o último Boletim Epidemiológico do Ministério da Saúde, entre 2010 e 2018, houve um aumento de 4.157% nos casos de sífilis no país.

Apenas em 2018, foram registrados mais de 246 mil casos entre sífilis adquirida, em gestantes e congênitas. Em relação às mortes, foram 241 – todas devido à sífilis congênita, que ocorre quando a mãe transmite a doença para a criança durante a gestação.

Em comparação com 2017, esses números representam um aumento de 25,7% nos casos em gestantes, 28,3% na adquirida e 5,2% na congênita.","O uso de preservativos é o método principal para evitar a transmissão de ISTs. Os médicos devem orientar os seus pacientes sobre o uso do preservativo em todas as relações sexuais, incluindo sexo oral e anal, além de procurar atendimento para avaliação em caso de exposições sem proteção.","Alguns sinais e sintomas devem sempre levar à suspeita de sífilis. Assim, diante do desenvolvimento de rash cutâneo não pruriginoso, principalmente em palmas e plantas, ou da presença de lesões ulceradas em regiões genitais ou orofaringe, sífilis deve ser pesquisada. Contudo, como as manifestações da doença podem ser variadas e afetar diversos sistemas ou podem não ser notadas, o médico deve permanecer com um alto grau de suspeição em relação a esse diagnóstico.

“Os testes diagnósticos são divididos em testes treponêmicos e não treponêmicos Enquanto os primeiros são considerados confirmatórios e permanecem positivos por toda a vida, os últimos podem ser utilizados como exames de controle. Idealmente, o diagnóstico de sífilis deve ser realizado com a positividade de um treponêmico e de um não treponêmico, mas algumas situações autorizam o tratamento com somente um teste não treponêmico positivo, como é o caso de gestantes. Os testes treponêmicos mais comumente disponíveis são os testes rápidos e FTA-Abs. Os não treponêmicos mais comuns incluem VDRL e RPR”, explica a infectologista.","Os sinais e sintomas variam de acordo com o estágio da doença. A infecção primária começa geralmente com úlcera única, rasa e com fundo limpo no local de inoculação, geralmente pênis ou vagina, mas também em orofaringe e região perianal, de dez a 90 dias depois do contágio. Como a úlcera é indolor e autolimitada, desaparecendo independente de tratamento, é comum passar despercebida ou não levar o indivíduo a procurar atendimento médico.

Após a resolução da úlcera, a enfermidade evolui para a sua fase secundária. Nesse estágio, pode ocorrer o desenvolvimento de manchas indolores e não pruriginosas em palmas das mãos e plantas dos pés. “Febre, linfonodomegalias, presença de rash cutâneo, cefaleia e mialgia também podem se desenvolver nessa fase. Alopecia e madarose são outros sinais de sífilis secundária. Mais raramente, pessoas infectadas podem desenvolver alterações neurológicas, como uveíte, sinais meníngeos ou alterações auditivas ou vestibulares, ou comprometimento hepático”, explica a infectologista.

Segundo Isabel Mendes, uma grande preocupação é a sífilis congênita, que afeta recém-nascidos de mães infectadas. Essas crianças afetadas podem apresentar hepatomegalia, lesões cutâneas ou de mucosa, pseudoparalisia dos membros devido a periostite, osteíte ou pericondrite, rinite serossanguinolenta, entre outros.

Algumas crianças afetadas podem apresentar sintomas somente em fases mais tardias, após o segundo ano de vida, como alterações ósseas e dentárias (tíbia em lâmina de sabre, fronte olímpica, nariz em sela, molares de amora, deformidade em dentes incisivos superiores, arco palatino elevado e mandíbula curta), ceratite intersticial, surdez neurológica e dificuldade de aprendizado.","Quando não tratada, a sífilis pode causar um grande comprometimento orgânico, no que é conhecido como sífilis terciária, com desenvolvimento de aortite, aneurismas, paralisia de pares de nervos cranianos, alterações de marcha, demência ou destruição tecidual de pele, mucosas ou ossos.

“A penicilina é considerada o padrão-ouro de tratamento de sífilis em todas as suas formas e estágios. Para os casos de sífilis primária, secundária ou latente recente, o tratamento preconizado é com penicilina benzatina 2.400.000 UI, IM, em dose única. Já para os quadros de sífilis latente tardia, terciária ou de duração desconhecida, recomenda-se três doses de penicilina benzatina na mesma dose, com uma semana de intervalo entre cada dose. Para os casos de comprometimento neurológico, o tratamento deve ser realizado com penicilina cristalina, na dose de 18-24 milhões UI/dia, IV, por 14 dias”, indica a especialista.

Ainda de acordo com a infectologista, o uso de ceftriaxona na dose de 2 g/dia é a principal opção terapêutica quando penicilina não está disponível ou é contraindicada. Entretanto, para as gestantes, o tratamento somente é considerado adequado quando realizado com penicilina nas doses e intervalos corretos, devidamente documentados.

“A avaliação cuidadosa de como o tratamento foi realizado é importante, pois afeta o acompanhamento do recém-nascido. Em gestantes com alergia à penicilina, deve-se considerar a realização de protocolos de dessensibilização em ambientes com estrutura adequada”, frisa a médica."
